ITIS_event_category_sid,id,name,open511_subtype
342,10021,hazmat-unit,
343,10022,type-i-hand-crew,
344,10023,type-ii-hand-crew,
345,10024,privately-owned-vehicle,
346,10025,other-apparatus-resource,
347,10026,ambulance,
348,10027,bomb-squad-van,
349,10028,combine-harvester,
350,10029,construction-vehicle,
351,10030,farm-tractor,
352,10031,grass-cutting-machines,
353,10032,hazmat-containment-tow,
354,10033,heavy-tow,
355,10034,light-tow,
356,10035,flatbed-tow,
357,10036,hedge-cutting-machines,
358,10037,mobile-crane,
359,10038,refuse-collection-vehicle,
360,10039,resurfacing-vehicle,
361,10040,road-sweeper,
362,10041,survey-crews,
363,10042,roadside-litter-collection-crews,
364,10043,salvage-vehicle,
365,10044,sand-truck,
366,10045,snowplow,
367,10046,steam-roller,
368,10047,swat-team-van,
369,10048,track-laying-vehicle,
370,10049,unknown-vehicle,
371,10050,white-lining-vehicle,
372,10051,dump-truck,
373,10052,supervisor-vehicle,
374,10053,snow-blower,
375,10054,rotary-snow-blower,
376,10055,road-grader,
377,10056,steam-truck,
378,2816,unconfirmed-report,
379,2817,initial-response-en-route,
380,2818,follow-up-response-en-route,
381,2819,initial-response-on-scene,
382,2820,follow-up-response-on-scene,
383,2821,confirmed-report,
384,2822,scene-is-unsecured-at-this-time,
385,2823,response-scene-secured,
386,2824,rescue-and-recovery-work-in-progress,
387,2825,extraction-in-progress,
388,2826,clearance-work-in-progress,
389,2827,body-removal-operations,
390,2828,fire-containment-contained,
391,2829,fire-containment-not-contained,
392,2830,event-cleared,
393,2831,traffic-clearing,
394,2832,incident-closed,INCIDENT
395,8192,all-roadways,
396,8193,through-lanes,
397,8194,left-lane,
398,8195,right-lane,
399,8196,center-lane,
400,8197,middle-lanes,
401,8198,middle-two-lanes,
402,8199,right-turning-lanes,
403,8200,left-turning-lanes,
404,8201,upper-deck-lanes,
405,8202,lower-deck-lanes,
406,8203,reversible-lanes,
407,8204,right-exit-lanes,
408,8205,left-exit-lanes,
409,8206,right-merging-lanes,
410,8207,left-merging-lanes,
411,8208,right-exit-ramp,
412,8209,right-second-exit-ramp,
413,8210,right-entrance-ramp,
414,8211,right-second-entrance-ramp,
415,8212,left-exit-ramp,
416,8213,left-second-exit-ramp,
417,8214,left-entrance-ramp,
418,8215,left-second-entrance-ramp,
419,8216,escape-ramp,
420,8217,hard-shoulder,
421,8218,soft-shoulder,
422,8219,right-shoulder,
423,8220,left-shoulder,
424,8221,median,
425,8222,sidewalk,
426,8223,highways,
427,8224,right-hand-parallel-lanes,
428,8225,left-hand-parallel-lanes,
429,8226,connecting-lanes,
430,8227,express-lanes,
431,8228,local-lanes,
432,8229,toll-lanes,
433,8230,electronic-toll-lanes,
434,8231,toll-plaza,
435,8232,inspection-lane,
436,8233,hov-lanes,
437,8234,bus-lanes,
438,8235,carpool-lanes,
439,8236,truck-lanes,
440,8237,emergency-lanes,
441,8238,passing-lanes,
442,8239,climbing-lanes,
443,8240,slow-lane,
444,8241,service-road,
